"Inglés","Español"
"Air-Fryer Salmon Bowls with Yum Yum Sauce","Tazones de Salmón en Freidora de Aire con Salsa Yum Yum"
"Air Fryer Buttermilk Fried Chicken","Pollo Frito con Suero de Leche en Freidora de Aire"
"Air Fryer Coconut Shrimp","Camarones al Coco en Freidora de Aire"
"Air Fryer Sweet Potato Nachos","Nachos de Batata en Freidora de Aire"
"Air Fryer “Honey” BBQ Cauliflower Wings","Alitas de Coliflor BBQ con Miel en Freidora de Aire"
"Apple, Beet, and Carrot Slaw with blood Orange Vinaigrette","Ensalada de Manzana, Remolacha y Zanahoria con Vinagreta de Naranja Roja"
"Arugula & Prosciutto Pizza with Zucchini Crust","Pizza de Rúcula y Prosciutto con Corteza de Calabacín"
"Asian Chicken and Vegetable Stew","Estofado Asiático de Pollo y Verduras"
"Avocado Alfredo with Zucchini Noodles","Alfredo de Aguacate con Fideos de Calabacín"
"Avocado Egg Pizza","Pizza de Aguacate y Huevo"
"Baby Kale and Quinoa Salad","Ensalada de Kale Baby y Quinoa"
"Baja Turkey Burgers","Hamburguesas de Pavo Baja"
"Baked Parmesan Chicken","Pollo al Horno con Parmesano"
"Baked Salmon with Ginger-Citrus Sauce","Salmón al Horno con Salsa de Jengibre y Cítricos"
"Baked Teriyaki Chicken","Pollo Teriyaki al Horno"
"Basic Bean Burger","Hamburguesa Básica de Frijoles"
"Bean and Cheese Tostadas","Tostadas de Frijoles y Queso"
"Beef & Broccoli Stir Fry","Salteado de Res y Brócoli"
"Beef and Broccoli over Zucchini Noodles","Res y Brócoli sobre Fideos de Calabacín"
"Beef Fajitas","Fajitas de Res"
"Beef Sancocho","Sancocho de Res"
"Big Skillet Breakfast","Desayuno Grande en Sartén"
"Black-Eyed Pea Salad","Ensalada de Frijoles de Ojo Negro"
"Blueberry Almond Chicken Salad Lettuce Wraps","Wraps de Lechuga con Ensalada de Pollo, Arándanos y Almendra"
"Braised Collards, Potato & White Beans","Coles Guisadas con Papa y Frijoles Blancos"
"Braised Moroccan Chicken","Pollo Marroquí Guisado"
"Breakfast Pizza","Pizza de Desayuno"
"Broccoli and Spinach Salad with Blueberries and Buttermilk Dressing","Ensalada de Brócoli y Espinaca con Arándanos y Aderezo de Suero de Leche"
"Brussels Sprout Salad with Avocado, Artichokes & Creamy Honey-Mustard Dressing","Ensalada de Coles de Bruselas con Aguacate, Alcachofas y Aderezo Cremoso de Miel y Mostaza"
"Buffalo Chicken Legs with Blue Cheese Salad","Muslos de Pollo Buffalo con Ensalada de Queso Azul"
"Canned Protein Burger","Hamburguesa de Proteína en Conserva"
"Cashew Chicken with Bell Peppers","Pollo con Anacardos y Pimientos"
"Cheesy Chicken, Brussel Sprouts & Mushroom Bake","Gratinado de Pollo, Coles de Bruselas y Champiñones con Queso"
"Chicken & Apple-Sage Pan Sauce with Roasted Brussels Sprouts, Carrots & Turnip","Salsa de Pollo y Manzana con Salvia con Coles de Bruselas Asadas, Zanahorias y Nabo"
"Chicken and Cucumber Lettuce Wraps with Peanut Sauce","Wraps de Lechuga con Pollo y Pepino con Salsa de Cacahuate"
"Chicken and Cucumber Lettuce Wraps with Peanut Sauce","Wraps de Lechuga con Pollo y Pepino con Salsa de Cacahuate"
"Chicken Apple Crunch Salad","Ensalada Crujiente de Pollo y Manzana"
"Chicken Curry","Curry de Pollo"
"Chicken Fried Rice with Cabbage, Zucchini, and Carrots","Arroz Frito con Pollo, Repollo, Calabacín y Zanahorias"
"Chicken Milanese with Pizzeria Salad","Milanesa de Pollo con Ensalada Pizzería"
"Chicken Nuggets with Honey Mustard Dipping Sauce","Nuggets de Pollo con Salsa de Miel y Mostaza"
"Chicken Stir-Fry with Snow Peas and Bell Pepper","Salteado de Pollo con Guisantes de Nieve y Pimiento"
"Chicken Wild Rice Asparagus Soup","Sopa de Pollo, Arroz Salvaje y Espárragos"
"Chickpea Pasta & Calabrian Tomato Sauce with Mushrooms, Spinach, and Peppers","Pasta de Garbanzos con Salsa de Tomate Calabrese, Champiñones, Espinaca y Pimientos"
"Chickpea Pasta & Seasoned Ricotta with Caramelized Fennel and Onion","Pasta de Garbanzos con Ricotta Sazonada, Hinojo Caramelizado y Cebolla"
"Chile Lime Shrimp with Poblano Sauce","Camarones con Chile y Lima con Salsa de Poblano"
"Chipotle Salmon with Watermelon Mango Salsa","Salmón al Chipotle con Salsa de Sandía y Mango"
"Chopped Veggie Salad with Feta","Ensalada de Verduras Picadas con Feta"
"Cider Braised Chicken","Pollo Guisado con Sidra"
"Coastal Sancocho","Sancocho Costero"
"Coffee-Rubbed Steak","Bistec Frotado con Café"
"Collard Greens with Yellow Squash","Verdolagas con Calabaza Amarilla"
"Crab, Kale & Ricotta Lasagna Rolls with Parmesan Pumpkin Sauce","Rollos de Lasaña de Cangrejo, Kale y Ricotta con Salsa de Calabaza y Parmesano"
"Creamy Basil Chicken Pasta","Pasta Cremosa de Pollo con Albahaca"
"Creamy Gravy","Salsa Cremosa"
"Creamy Pumpkin Pasta","Pasta Cremosa de Calabaza"
"Creole-Sauced Halibut","Fletán con Salsa Criolla"
"Creole Drums","Muslos Criollos"
"Crustless Mediterranean Quiche","Quiche Mediterráneo sin Corteza"
"Curried Chickpea Stew with Roasted Vegetables","Estofado de Garbanzos al Curry con Verduras Asadas"
"Curried Chickpea Stew with Roasted Vegetables","Estofado de Garbanzos al Curry con Verduras Asadas"
"Dairy-Free Loaded Nachos","Nachos Cargados sin Lácteos"
"Dukkah-Spiced Chicken & Orange Salsa with Brussels Sprout, Spinach, and Beet Farro","Pollo Especiado con Dukkah y Salsa de Naranja con Farro de Coles de Bruselas, Espinaca y Remolacha"
"Easy Beef Chili","Chili de Res Fácil"
"Easy Broccoli and Shrimp Stir-Fry","Salteado Fácil de Brócoli y Camarones"
"Easy Chicken and Vegetable Casserole","Cazuela Fácil de Pollo y Verduras"
"Easy Chicken Panini","Panini de Pollo Fácil"
"Easy Perfectly Cooked Lentils","Lentejas Perfectamente Cocidas Fácilmente"
"Easy Spinach Ricotta Enchiladas","Enchiladas de Espinaca y Ricotta Fáciles"
"Easy Turkey Chili","Chili de Pavo Fácil"
"Eggplant with Meatballs (Borani Bademjan)","Berenjena con Albóndigas (Borani Bademjan)"
"Family Style Chicken Pot Pie","Pastel de Pollo al Estilo Familiar"
"Fresh Vegetable Summer Rolls","Rollos de Verano de Verduras Frescas"
"Garlicky Ginger Eggplant","Berenjena con Ajo y Jengibre"
"Garlic Sesame Pork Tenderloin","Lomo de Cerdo con Ajo y Sésamo"
"Greek-Style Pork Roast & Tzatziki with Lemon-Garlic Vegetables","Asado de Cerdo Estilo Griego y Tzatziki con Verduras al Limón y Ajo"
"Greek Chicken & Potatoes with Sautéed Kale, Raisins & Feta Cheese","Pollo y Papas Griegos con Kale Salteado, Pasas y Queso Feta"
"Greek Vegetable Pita Pizzas","Pizzas de Pita con Verduras Griegas"
"Green Bell Pepper Enchiladas","Enchiladas de Pimiento Verde"
"Green Pesto Pasta","Pasta con Pesto Verde"
"Green Salad with Orange, Avocado, and Onion","Ensalada Verde con Naranja, Aguacate y Cebolla"
"Grilled ''Honey\" BBQ Chicken","Pollo BBQ a la Parrilla con Miel"
"Grilled Chicken with Plums and Zucchini Skewers","Pollo a la Parrilla con Brochetas de Ciruelas y Calabacín"
"Grilled Chicken with Plums and Zucchini Skewers","Pollo a la Parrilla con Brochetas de Ciruelas y Calabacín"
"Grilled Hawaiian Chicken Kabobs","Brochetas de Pollo Hawaiano a la Parrilla"
"Grilled Honey-Lime Chicken","Pollo a la Parrilla con Miel y Lima"
"Grilled Pepper Steak Tostada","Tostada de Bistec con Pimiento a la Parrilla"
"Grilled Sesame Asparagus","Espárragos al Sésamo a la Parrilla"
"Grilled Sirloin with Olive Tapenade","Solomillo a la Parrilla con Tapenade de Aceitunas"
"Herb-Rubbed Pork Tenderloin","Lomo de Cerdo Frotado con Hierbas"
