"Inglés","Español"
"4-Layer Stuffed Avocado","Aguacate Relleno de 4 Capas"
"Air-Fryer Salmon Bowls with Yum Yum Sauce","Tazones de Salmón en Freidora de Aire con Salsa Yum Yum"
"Air Fryer Coconut Shrimp","Camarones al Coco en Freidora de Aire"
"Air Fryer “Honey” BBQ Cauliflower Wings","Alitas de Coliflor BBQ con Miel en Freidora de Aire"
"Air Fryer “Honey” BBQ Cauliflower Wings","Alitas de Coliflor BBQ con Miel en Freidora de Aire"
"Ajiaco (English)","Ajiaco (Inglés)"
"Apple, Beet, and Carrot Slaw with blood Orange Vinaigrette","Ensalada de Manzana, Remolacha y Zanahoria con Vinagreta de Naranja Sanguina"
"Apple-Walnut Salad","Ensalada de Manzana y Nuez"
"Apple Cider Honey Red Cabbage","Repollo Rojo con Sidra de Manzana y Miel"
"Apple Mustard Pork Chops","Chuletas de Cerdo con Manzana y Mostaza"
"Arugula & Prosciutto Pizza with Zucchini Crust","Pizza de Rúcula y Prosciutto con Masa de Calabacín"
"Asian Chicken and Vegetable Stew","Estofado Asiático de Pollo y Verduras"
"Avocado Egg Pizza","Pizza de Aguacate y Huevo"
"Baby Kale and Quinoa Salad","Ensalada de Kale Baby y Quinoa"
"Baked Parmesan Chicken","Pollo al Horno con Parmesano"
"Basic Tuscan Bean Soup","Sopa Básica de Frijoles Toscana"
"Bean and Cheese Tostadas","Tostadas de Frijoles y Queso"
"Beef Fajitas","Fajitas de Res"
"Beef Sancocho","Sancocho de Res"
"Beef Wrap Lunch Box","Caja de Almuerzo con Wrap de Res"
"Better Mashed Potatoes","Puré de Papas Mejorado"
"Big Skillet Breakfast","Desayuno Grande en Sartén"
"Black-Eyed Pea Salad","Ensalada de Frijoles de Ojo Negro"
"Blueberry Almond Chicken Salad Lettuce Wraps","Wraps de Lechuga con Ensalada de Pollo, Arándanos y Almendras"
"Braised Brussels Sprouts With Pancetta","Coles de Bruselas Guisadas con Panceta"
"Braised Cabbage With Apples","Repollo Guisado con Manzanas"
"Broccoli and Mandarin Orange Salad","Ensalada de Brócoli y Naranja Mandarina"
"Broccoli and Mandarin Orange Salad","Ensalada de Brócoli y Naranja Mandarina"
"Broccoli and Spinach Salad with Blueberries and Buttermilk Dressing","Ensalada de Brócoli y Espinaca con Arándanos y Aderezo de Suero de Leche"
"Brussels Sprouts With Oranges","Coles de Bruselas con Naranjas"
"Brussels Sprout Salad with Avocado, Artichokes & Creamy Honey-Mustard Dressing","Ensalada de Coles de Bruselas con Aguacate, Alcachofas y Aderezo Cremoso de Miel y Mostaza"
"Budget-Friendly Tuna Pasta Salad","Ensalada de Pasta con Atún Económica"
"Budget-Friendly Veggie Burgers with Mango Slaw","Hamburguesas Vegetales Económicas con Ensalada de Mango"
"Buffalo Chicken Legs with Blue Cheese Salad","Piernas de Pollo Buffalo con Ensalada de Queso Azul"
"Butternut Squash and Kale Soup","Sopa de Calabaza y Kale"
"Butternut Squash Stew with Chickpeas","Estofado de Calabaza con Garbanzos"
"Buttery Lemon Grilled Fish on Grilled Asparagus","Pescado a la Parrilla con Mantequilla y Limón sobre Espárragos a la Parrilla"
"Cabbage Salad","Ensalada de Repollo"
"Cajun-Style Corn Soup","Sopa de Maíz al Estilo Cajún"
"Cajun Fish Sandwiches With Crunchy Slaw","Sándwiches de Pescado Cajún con Ensalada Crujiente"
"Caldo Verde (Green Soup)","Caldo Verde (Sopa Verde)"
"Canned Protein Burger","Hamburguesa de Proteína en Conserva"
"Caprese Turkey Burger","Hamburguesa de Pavo Caprese"
"Cauliflower \"Mac\" and Cheese with Lobster","Macarrones con Queso y Coliflor con Langosta"
"Cheddar Cheese and Broccoli Soup","Sopa de Queso Cheddar y Brócoli"
"Cheese and Veggie Pitas","Pitas de Queso y Verduras"
"Cheesy Chicken, Brussel Sprouts & Mushroom Bake","Horno de Pollo, Coles de Bruselas y Champiñones con Queso"
"Chicken, Mushroom and Barley Soup","Sopa de Pollo, Champiñones y Cebada"
"Chicken and Black Bean Burritos","Burritos de Pollo y Frijoles Negros"
"Chicken and Cucumber Lettuce Wraps with Peanut Sauce","Wraps de Lechuga con Pollo y Pepino en Salsa de Cacahuate"
"Chicken and Cucumber Lettuce Wraps with Peanut Sauce","Wraps de Lechuga con Pollo y Pepino en Salsa de Cacahuate"
"Chicken and Pepper Paella","Paella de Pollo y Pimientos"
"Chicken and Roasted Pepper Lettuce Cups","Tazas de Lechuga con Pollo y Pimientos Asados"
"Chicken and Spinach Enchiladas","Enchiladas de Pollo y Espinaca"
"Chicken and Vegetable Soup","Sopa de Pollo y Verduras"
"Chicken and Wild Rice Soup","Sopa de Pollo y Arroz Salvaje"
"Chicken Apple Crunch Salad","Ensalada Crujiente de Pollo y Manzana"
"Chicken Apple Crunch Salad","Ensalada Crujiente de Pollo y Manzana"
"Chicken Caesar Salad Lunch Wraps","Wraps de Almuerzo con Ensalada César de Pollo"
"Chicken Cheddar Rice with Asparagus","Arroz con Pollo, Cheddar y Espárragos"
"Chicken Curry","Curry de Pollo"
"Chicken Joes","Joes de Pollo"
"Chicken Kale Salad with Fresh Ginger Dressing","Ensalada de Pollo y Kale con Aderezo de Jengibre Fresco"
"Chicken Lettuce Wraps","Wraps de Lechuga con Pollo"
"Chicken Nuggets with Honey Mustard Dipping Sauce","Nuggets de Pollo con Salsa de Miel y Mostaza"
"Chicken Salad Sliders","Mini Sándwiches de Ensalada de Pollo"
"Chicken Salad with Strawberries","Ensalada de Pollo con Fresas"
"Chicken Soup","Sopa de Pollo"
"Chicken Stir-Fry with Snow Peas and Bell Pepper","Salteado de Pollo con Guisantes de Nieve y Pimiento"
"Chicken Wild Rice Asparagus Soup","Sopa de Pollo, Arroz Salvaje y Espárragos"
"Chicken–White Bean Soup With Fresh Veggie Topper","Sopa de Pollo y Frijoles Blancos con Cobertura de Verduras Frescas"
"Chickpea Pasta with Roasted Vegetables","Pasta de Garbanzos con Verduras Asadas"
"Chickpea Patties With Mango Chutney","Tortitas de Garbanzos con Chutney de Mango"
"Chile Lime Shrimp with Poblano Sauce","Camarones con Chile y Lima en Salsa de Poblano"
"Chili-Roasted Shallots and Brussels Sprouts","Chalotas Asadas con Chile y Coles de Bruselas"
"Chilled Tarragon and Tomato Soup","Sopa Fría de Estragón y Tomate"
"Chipotle BBQ Pork Folded Tacos","Tacos Dobles de Cerdo BBQ con Chipotle"
"Chipotle Chili and Tea Rubbed Salmon","Salmón Frotado con Chile Chipotle y Té"
"Chop-Free Chili","Chili sin Picar"
"Chopped Black Bean Chicken Salad","Ensalada de Pollo con Frijoles Negros Picados"
"Chopped Mexican Salad with Lime","Ensalada Mexicana Picada con Lima"
"Chopped Salad with Cilantro Lime Dressing","Ensalada Picada con Aderezo de Cilantro y Lima"
"Chopped Veggie Salad with Feta","Ensalada Picada de Verduras con Feta"
"Cilantro Lime Shrimp","Camarones con Cilantro y Lima"
"Citrus-Tarragon Chicken Kabobs","Kabobs de Pollo con Cítricos y Estragón"
"Citrus Grilled Shrimp with Spring Greens","Camarones a la Parrilla con Cítricos y Verduras de Primavera"
"Citrus Mahi-Mahi Packet with Broccoli","Paquete de Mahi-Mahi con Cítricos y Brócoli"
"Classic Italian Panzanella Salad","Ensalada Panzanella Italiana Clásica"
"Coastal Sancocho","Sancocho Costero"
"Cod on Roasted Pepper and White Beans","Bacalao con Pimientos Asados y Frijoles Blancos"
"Coffee-Rubbed Steak","Bistec Frotado con Café"
"Cold Pasta Salad","Ensalada de Pasta Fría"
"Congrí Light (Cuban Black Beans and Rice)","Congrí Ligero (Frijoles Negros y Arroz Cubano)"
"Corn and Zucchini Tacos","Tacos de Maíz y Calabacín"
"Crab, Kale & Ricotta Lasagna Rolls with Parmesan Pumpkin Sauce","Rollos de Lasagna de Cangrejo, Kale y Ricotta con Salsa de Calabaza y Parmesano"
"Crab Cake Burger","Hamburguesa de Pastel de Cangrejo"
"Cranberry Almond Spinach Salad","Ensalada de Espinaca con Arándanos y Almendras"
"Creamy Chicken & Broccoli Basil Pesto Salad","Ensalada Cremosa de Pollo y Brócoli con Pesto de Albahaca"
"Creamy Chicken Apple Salad","Ensalada Cremosa de Pollo y Manzana"
"Creamy White Bean Soup with Basil and Olive Oil","Sopa Cremosa de Frijoles Blancos con Albahaca y Aceite de Oliva"
"Cream of Broccoli Soup","Sopa Cremosa de Brócoli"
"Crisp Pecan Tilapia","Tilapia Crujiente con Pacanas"
"Crockpot Spinach Lasagna","Lasagna de Espinaca en Olla de Cocción Lenta"
"Crunchy Asian Salad","Ensalada Asiática Crujiente"
"Crunchy Coleslaw Turkey Sandwich","Sándwich de Pavo con Ensalada de Col Crujiente"
"Crunchy Mediterranean Tuna Salad Wrap","Wrap de Ensalada de Atún Mediterránea Crujiente"
"Crustless Asparagus & Pepper Mini Quiche","Mini Quiche sin Corteza de Espárragos y Pimientos"
"Crustless Mediterranean Quiche","Quiche Mediterránea sin Corteza"
"Crustless Spinach and Mushroom Quiche","Quiche sin Corteza de Espinaca y Champiñones"
"Curried Chickpea Stew with Roasted Vegetables","Estofado de Garbanzos al Curry con Verduras Asadas"
"Curried Chickpea Stew with Roasted Vegetables","Estofado de Garbanzos al Curry con Verduras Asadas"
