"Inglés","Español"
"4-Ingredient Peanut Butter Cookies","Galletas de Mantequilla de Maní con 4 Ingredientes"
"4-Layer Stuffed Avocado","Aguacate Relleno de 4 Capas"
"5 Ingredient Blueberry Protein Muffins","Muffins de Proteína con Arándanos y 5 Ingredientes"
"Almond Cranberry Celery Logs","Barras de Almendra, Arándanos y Apio"
"Almost Smooth Salsa","Salsa Casi Suave"
"Asian Chicken and Vegetable Stew","Estofado Asiático de Pollo y Verduras"
"Avocado Alfredo with Zucchini Noodles","Alfredo de Aguacate con Fideos de Calabacín"
"Avocado Egg Pizza","Pizza de Aguacate y Huevo"
"Avocado Lime Salad Dressing","Aderezo de Ensalada de Aguacate y Lima"
"Avocado Toast with Turkey Bacon and Tomato","Tostada de Aguacate con Tocino de Pavo y Tomate"
"Baja Turkey Burgers","Hamburguesas de Pavo al Estilo Baja"
"Baked or Grilled Trout","Trucha al Horno o a la Parrilla"
"Banana Chocolate Chip Mini Muffins","Mini Muffins de Banana y Chispas de Chocolate"
"BBQ Popcorn","Palomitas de Maíz BBQ"
"Bean and Cheese Tostadas","Tostadas de Frijoles y Queso"
"Beef & Broccoli Stir Fry","Salteado de Carne y Brócoli"
"Beef and Broccoli over Zucchini Noodles","Carne y Brócoli sobre Fideos de Calabacín"
"Beef Fajitas","Fajitas de Carne"
"Beef Wrap Lunch Box","Envoltura de Carne para la Caja de Almuerzo"
"Berry Almond Oatmeal","Avena con Frutas del Bosque y Almendra"
"Black-Eyed Pea Salad","Ensalada de Frijoles de Ojo Negro"
"Blueberry Almond Chicken Salad Lettuce Wraps","Envolturas de Lechuga con Ensalada de Pollo, Arándanos y Almendra"
"Breakfast Cookies","Galletas de Desayuno"
"Broccoli and Apple Salad","Ensalada de Brócoli y Manzana"
"Brussels Sprout Salad with Avocado, Artichokes & Creamy Honey-Mustard Dressing","Ensalada de Coles de Bruselas con Aguacate, Alcachofas y Aderezo Cremoso de Miel y Mostaza"
"Butterscotch Protein Pie","Tarta de Proteína con Butterscotch"
"Canned Protein Burger","Hamburguesa de Proteína en Lata"
"Cashew Chicken with Bell Peppers","Pollo con Anacardos y Pimientos"
"Cheesy Chicken, Brussel Sprouts & Mushroom Bake","Horneado de Pollo con Queso, Coles de Bruselas y Champiñones"
"Cheesy Savory Oatmeal","Avena Salada con Queso"
"Chicken Apple Crunch Salad","Ensalada Crujiente de Pollo y Manzana"
"Chicken Nuggets with Honey Mustard Dipping Sauce","Nuggets de Pollo con Salsa para Mojar de Miel y Mostaza"
"Chicken Stir-Fry with Snow Peas and Bell Pepper","Salteado de Pollo con Guisantes de Nieve y Pimiento"
"Chipotle Salmon with Watermelon Mango Salsa","Salmón al Chipotle con Salsa de Sandía y Mango"
"Chopped Veggie Salad with Feta","Ensalada de Verduras Picadas con Feta"
"Cinnamon French Vanilla Overnight Oats","Avena Nocturna de Canela y Vainilla Francesa"
"Coffee-Rubbed Steak","Bistec con Adobo de Café"
"Cookie Dough Hummus","Hummus de Masa de Galleta"
"Crab, Kale & Ricotta Lasagna Rolls with Parmesan Pumpkin Sauce","Rollos de Lasaña de Cangrejo, Kale y Ricotta con Salsa de Calabaza y Parmesano"
"Creamy Chicken & Broccoli Basil Pesto Salad","Ensalada Cremosa de Pollo y Brócoli con Pesto de Albahaca"
"Creamy Pumpkin Pasta","Pasta Cremosa de Calabaza"
"Crunchy Coleslaw Turkey Sandwich","Sándwich de Pavo con Ensalada de Col Crujiente"
"Crustless Asparagus and Tomato Quiche","Quiche sin Corteza de Espárragos y Tomate"
"Crustless Mediterranean Quiche","Quiche Mediterránea sin Corteza"
"Cucumber and Onion Salad","Ensalada de Pepino y Cebolla"
"Easy Broccoli and Shrimp Stir-Fry","Salteado Fácil de Brócoli y Camarones"
"Easy Chicken and Vegetable Casserole","Cazuela Fácil de Pollo y Verduras"
"Easy Egg Muffins","Muffins de Huevo Fáciles"
"Easy Egg Salad","Ensalada de Huevo Fácil"
"Easy Garlic Bok Choy","Bok Choy con Ajo Fácil"
"Easy Middle Eastern Green Beans","Judías Verdes al Estilo Medio Oriente Fácil"
"Easy Perfectly Cooked Lentils","Lentejas Cocidas a la Perfección Fácil"
"Easy Spinach Ricotta Enchiladas","Enchiladas de Espinaca y Ricotta Fáciles"
"Ensalada de zanahoria y col","Ensalada de Zanahoria y Col"
"Fast-Fix Bean Burrito","Burrito Rápido de Frijoles"
"Fennel, Radish, and Orange Salad","Ensalada de Hinojo, Rábano y Naranja"
"Fruit-Sweetened BBQ Sauce","Salsa BBQ Endulzada con Frutas"
"Garlicky Ginger Eggplant","Berenjena con Ajo y Jengibre"
"Garlic Sesame Pork Tenderloin","Lomo de Cerdo con Ajo y Sésamo"
"Greek Vegetable Pita Pizzas","Pizzas de Pita con Verduras al Estilo Griego"
"Green Beans with Mushrooms and Onions","Judías Verdes con Champiñones y Cebollas"
"Green Bell Pepper Enchiladas","Enchiladas de Pimiento Verde"
"Green Pesto Pasta","Pasta con Pesto Verde"
"Green Salad with Orange, Avocado, and Onion","Ensalada Verde con Naranja, Aguacate y Cebolla"
"Grilled Honey-Lime Chicken","Pollo a la Parrilla con Miel y Lima"
"Grilled Peaches with Fresh Blueberry Compote","Duraznos a la Parrilla con Compota de Arándanos Frescos"
"Grilled Sesame Asparagus","Espárragos al Sésamo a la Parrilla"
"Grilled Sirloin with Olive Tapenade","Sirloin a la Parrilla con Tapenade de Aceitunas"
"Ham and Broccoli Frittata","Frittata de Jamón y Brócoli"
"Hard Boiled Egg","Huevo Duro"
"Herbed Soft Scrambled Eggs on Toast","Huevos Revueltos Suaves con Hierbas sobre Tostada"
"Herbs de Provence Roasted Chicken Breasts","Pechugas de Pollo Asadas con Hierbas de Provenza"
"Herby Bean Dip","Dip de Frijoles con Hierbas"
"Homemade Fruit-Sweetened Granola","Granola Casera Endulzada con Frutas"
"Homemade Instant Soup Jars","Frascos de Sopa Instantánea Casera"
"Hummus & Red Pepper Celery Logs","Barras de Apio con Hummus y Pimiento Rojo"
"Hummus de Lentejas rojas","Hummus de Lentejas Rojas"
"Instant Pot Chia Berry Crepes","Crepes de Chía y Frutas del Bosque en Instant Pot"
"Instant Pot Panko-Crusted Cod","Bacalao Empanizado con Panko en Instant Pot"
"Italian Salsa Salad","Ensalada de Salsa Italiana"
"Italian Tomato-Basil Soup","Sopa Italiana de Tomate y Albahaca"
"Just Peachy Yogurt and Granola Jar","Frasco de Yogur y Granola de Durazno"
"Kale Apple Slaw","Ensalada de Kale y Manzana"
"Korean BBQ-Inspired Baked Salmon","Salmón al Horno Inspirado en BBQ Coreano"
"Lemon Chicken with Rosemary and Garlic","Pollo al Limón con Romero y Ajo"
"Lemon Thyme Shrimp Stir-Fry with Cauliflower Rice","Salteado de Camarones con Limón, Tomillo y Arroz de Coliflor"
"Love Your Leftovers" BBQ Bowl,"Tazón BBQ "Ama tus Sobras""
"Low-Carb Cauliflower Mashed "Potatoes"","Puré de Coliflor Bajo en Carbohidratos "Puré de Papas""
"Low-Carb Easy Tiramisu","Tiramisú Fácil Bajo en Carbohidratos"
"Low-Carb Rosemary Flax Crackers","Galletas de Romero y Linaza Bajas en Carbohidratos"
"Low Carb Summer Vegetable Pasta","Pasta de Verduras de Verano Baja en Carbohidratos"
"Low Carb Veggie Fried Rice Bowl","Tazón de Arroz Frito con Verduras Bajo en Carbohidratos"
"Mandarin, Greens, and Protein Bowl","Tazón de Mandarina, Verduras y Proteína"
"Mandarin Salsa and Prosciutto Bruschetta","Bruschetta de Salsa de Mandarina y Prosciutto"
"Maple-Thyme Roasted Brussel Sprouts","Coles de Bruselas Asadas con Maple y Tomillo"
"Margherita Pizza (Cloud Bread)","Pizza Margherita (Pan de Nube)"
"Mediterranean Zucchini","Calabacín Mediterráneo"
"Mexican-Spiced Beef Salad with Roasted Vegetables and Creamy Cilantro Dressing","Ensalada de Carne con Especias Mexicanas, Verduras Asadas y Aderezo Cremoso de Cilantro"
"Microwave Egg and Veggie Jars","Frascos de Huevo y Verduras en Microondas"
"Milk Chocolate Peanut Butter Banana Smoothie","Batido de Banana, Mantequilla de Cacahuate y Chocolate con Leche"
"Mixed Berries","Frutas del Bosque Mixtas"
"Nicoise-Inspired Salad","Ensalada Inspirada en Niçoise"
"Nuts for Pine Nuts Pizza","Pizza de Piñones y Nueces"
"Orange Cream Italian Soda","Soda Italiana de Crema de Naranja"
"Oven-Baked Maduros (Sweet Plantains)","Maduros al Horno (Plátanos Dulces)"
"Parfait de pudín de calabaza con galletas de jengibre","Parfait de Pudín de Calabaza con Galletas de Jengibre"
"Parsley Dill Ricotta Dip","Dip de Ricotta con Perejil y Eneldo"
"Parsley Lemon Chickpea Salad","Ensalada de Garbanzos con Perejil y Limón"
"Peach & Cream Smoothie","Batido de Durazno y Crema"
"Peanut Butter, Cranberry, and Walnut Apple Slices","Rodajas de Manzana con Mantequilla de Cacahuate, Arándanos y Nueces"
"Peanut Butter Swirl Nice Cream with Chocolate Drizzle","Helado de Mantequilla de Cacahuate con Remolino y Rociado de Chocolate"
"Pecan-Crusted Chicken Breast","Pechuga de Pollo Empanizada con Pacanas"
"Peppermint Chocolate "Nice Cream"","Helado de Chocolate y Menta"
"Peruvian Chicken Saltado","Saltado de Pollo Peruano"
"Pesto Chicken with Vegetables and Spaghetti","Pollo con Pesto, Verduras y Espaguetis"
"Plant-Based "Steak" Fajitas","Fajitas de "Bistec" a Base de Plantas"
"Poached Pears with Pomegranate Sauce","Peras Escalfadas con Salsa de Granada"
"Ponzu Pork Tacos with Mandarin Oranges","Tacos de Cerdo con Ponzu y Mandarinas"
"Quick & Easy Cheese Dip","Dip de Queso Rápido y Fácil"
"Radish Toasts with Goat Cheese & Chives","Tostadas de Rábano con Queso de Cabra y Cebollín"
"Ramen-Style Ginger Chicken Noodle Soup","Sopa de Fideos de Pollo con Jengibre al Estilo Ramen"
"Raspberry Vinaigrette","Vinagreta de Frambuesa"
"Red Lentil Hummus","Hummus de Lentejas Rojas"
"Ricotta and Blackberry Jam Crostini","Crostini de Ricotta y Mermelada de Mora"
"Roasted Asparagus with Parmesan","Espárragos Asados con Parmesano"
"Roasted Red Pepper Tomato Sauce","Salsa de Tomate con Pimiento Rojo Asado"
"Salmon Croquettes with Yogurt-Horseradish Sauce","Croquetas de Salmón con Salsa de Yogur y Rábano Picante"
"Salmon with Mango and Peach Salsa","Salmón con Salsa de Mango y Durazno"
"Sautéed Thyme Mushrooms","Champiñones Salteados con Tomillo"
"Savory Tzatziki-Style Greek Yogurt","Yogur Griego al Estilo Tzatziki Salado"
"Seasonal Baked Whitefish Pouch","Pouch de Pescado Blanco al Horno de Temporada"
